,DATE,GPP_PI_F,TA,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
0,2000-01-01,49.557827,,US-Var,GRA,38.4133,-120.9508,129.0
1,2000-01-02,54.779897,,US-Var,GRA,38.4133,-120.9508,129.0
2,2000-01-03,38.310206,,US-Var,GRA,38.4133,-120.9508,129.0
3,2000-01-04,47.238792000000004,,US-Var,GRA,38.4133,-120.9508,129.0
4,2000-01-05,58.723194,,US-Var,GRA,38.4133,-120.9508,129.0
5,2000-01-06,60.26177,,US-Var,GRA,38.4133,-120.9508,129.0
6,2000-01-07,49.395528,,US-Var,GRA,38.4133,-120.9508,129.0
7,2000-01-08,45.894376,,US-Var,GRA,38.4133,-120.9508,129.0
8,2000-01-09,51.332172,,US-Var,GRA,38.4133,-120.9508,129.0
9,2000-01-10,58.026942999999996,,US-Var,GRA,38.4133,-120.9508,129.0
10,2000-01-11,62.501949,,US-Var,GRA,38.4133,-120.9508,129.0
11,2000-01-12,60.13912,,US-Var,GRA,38.4133,-120.9508,129.0
12,2000-01-13,69.659398,,US-Var,GRA,38.4133,-120.9508,129.0
13,2000-01-14,67.049358,,US-Var,GRA,38.4133,-120.9508,129.0
14,2000-01-15,68.084089,,US-Var,GRA,38.4133,-120.9508,129.0
15,2000-01-16,60.448845,,US-Var,GRA,38.4133,-120.9508,129.0
16,2000-01-17,56.5354,,US-Var,GRA,38.4133,-120.9508,129.0
17,2000-01-18,65.950835,,US-Var,GRA,38.4133,-120.9508,129.0
18,2000-01-19,50.381262,,US-Var,GRA,38.4133,-120.9508,129.0
19,2000-01-20,58.067943,,US-Var,GRA,38.4133,-120.9508,129.0
20,2000-01-21,67.880835,,US-Var,GRA,38.4133,-120.9508,129.0
21,2000-01-22,67.936446,,US-Var,GRA,38.4133,-120.9508,129.0
22,2000-01-23,77.095632,,US-Var,GRA,38.4133,-120.9508,129.0
23,2000-01-24,69.184411,,US-Var,GRA,38.4133,-120.9508,129.0
24,2000-01-25,78.008151,,US-Var,GRA,38.4133,-120.9508,129.0
25,2000-01-26,89.980898,,US-Var,GRA,38.4133,-120.9508,129.0
26,2000-01-27,79.477661,,US-Var,GRA,38.4133,-120.9508,129.0
27,2000-01-28,94.126722,,US-Var,GRA,38.4133,-120.9508,129.0
28,2000-01-29,99.118338,,US-Var,GRA,38.4133,-120.9508,129.0
29,2000-01-30,113.430363,,US-Var,GRA,38.4133,-120.9508,129.0
30,2000-01-31,109.383857,,US-Var,GRA,38.4133,-120.9508,129.0
31,2000-02-01,104.288588,,US-Var,GRA,38.4133,-120.9508,129.0
32,2000-02-02,90.820155,,US-Var,GRA,38.4133,-120.9508,129.0
33,2000-02-03,110.172463,,US-Var,GRA,38.4133,-120.9508,129.0
34,2000-02-04,113.538404,,US-Var,GRA,38.4133,-120.9508,129.0
35,2000-02-05,114.7692,,US-Var,GRA,38.4133,-120.9508,129.0
36,2000-02-06,119.621981,,US-Var,GRA,38.4133,-120.9508,129.0
37,2000-02-07,106.864264,,US-Var,GRA,38.4133,-120.9508,129.0
38,2000-02-08,123.704164,,US-Var,GRA,38.4133,-120.9508,129.0
39,2000-02-09,108.782438,,US-Var,GRA,38.4133,-120.9508,129.0
40,2000-02-10,125.21446,,US-Var,GRA,38.4133,-120.9508,129.0
41,2000-02-11,130.482866,,US-Var,GRA,38.4133,-120.9508,129.0
42,2000-02-12,121.885303,,US-Var,GRA,38.4133,-120.9508,129.0
43,2000-02-13,127.260752,,US-Var,GRA,38.4133,-120.9508,129.0
44,2000-02-14,142.074663,,US-Var,GRA,38.4133,-120.9508,129.0
45,2000-02-15,138.854175,,US-Var,GRA,38.4133,-120.9508,129.0
46,2000-02-16,145.729215,,US-Var,GRA,38.4133,-120.9508,129.0
47,2000-02-17,139.149218,,US-Var,GRA,38.4133,-120.9508,129.0
48,2000-02-18,163.26252,,US-Var,GRA,38.4133,-120.9508,129.0
49,2000-02-19,151.89587,,US-Var,GRA,38.4133,-120.9508,129.0
50,2000-02-20,163.226367,,US-Var,GRA,38.4133,-120.9508,129.0
51,2000-02-21,170.42373700000002,,US-Var,GRA,38.4133,-120.9508,129.0
52,2000-02-22,157.867987,,US-Var,GRA,38.4133,-120.9508,129.0
53,2000-02-23,149.094191,,US-Var,GRA,38.4133,-120.9508,129.0
54,2000-02-24,148.231801,,US-Var,GRA,38.4133,-120.9508,129.0
55,2000-02-25,164.809837,,US-Var,GRA,38.4133,-120.9508,129.0
56,2000-02-26,152.231023,,US-Var,GRA,38.4133,-120.9508,129.0
57,2000-02-27,163.81234,,US-Var,GRA,38.4133,-120.9508,129.0
58,2000-02-28,191.81253,,US-Var,GRA,38.4133,-120.9508,129.0
59,2000-02-29,196.924091,,US-Var,GRA,38.4133,-120.9508,129.0
