,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
0,AR-TF1,WET,-54.9733,-66.7335,40.0
1,AR-TF2,WET,-54.8269,-68.4549,60.0
2,BR-CST,DNF,-7.9682,-38.3842,468.0
3,BR-Npw,WSA,-16.498,-56.412,120.0
4,CA-ARB,WET,52.695,-83.9452,90.0
5,CA-ARF,WET,52.7008,-83.955,88.0
6,CA-BOU,WET,50.5244,-63.2064,108.0
7,CA-Ca1,ENF,49.8673,-125.3336,300.0
8,CA-Ca2,ENF,49.8705,-125.2909,300.0
9,CA-Ca3,ENF,49.5346,-124.9004,
10,CA-Cbo,DBF,44.3167,-79.9333,120.0
11,CA-Cha,MF,45.8847,-67.3569,341.0
12,CA-DB2,WET,49.119,-122.9951,4.0
13,CA-DBB,WET,49.1293,-122.9849,4.0
14,CA-DL1,OSH,64.8689,-111.5748,425.0
15,CA-DL2,WET,64.8648,-111.5677,416.0
16,CA-ER1,CRO,43.6405,-80.4123,370.0
17,CA-ER2,CRO,43.6419,-80.414,370.0
18,CA-KLP,WET,51.5902,-81.7684,71.0
19,CA-LP1,ENF,55.1119,-122.8414,751.0
20,CA-MA1,CRO,50.1645,-97.8762,261.0
21,CA-MA2,GRA,50.171,-97.8762,261.0
22,CA-MA2,CRO,50.171,-97.8762,261.0
23,CA-MA3,GRA,50.1774,-97.8686,261.0
24,CA-Man,ENF,55.8796,-98.4808,259.0
25,CA-Mer,WET,45.4094,-75.5186,70.0
26,CA-Na1,ENF,46.4722,-67.1,341.0
27,CA-Oas,DBF,53.6289,-106.1978,530.0
28,CA-Obs,ENF,53.9872,-105.1178,628.94
29,CA-SF1,ENF,54.485,-105.8176,536.0
30,CA-SF2,ENF,54.2539,-105.8775,520.0
31,CA-SF3,OSH,54.0916,-106.0053,540.0
32,CA-TP1,ENF,42.6609,-80.5595,265.0
33,CA-TP2,ENF,42.7744,-80.4588,212.0
34,CA-TP3,ENF,42.7068,-80.3483,184.0
35,CA-TP4,ENF,42.7102,-80.3574,184.0
36,CA-TPD,DBF,42.6353,-80.5577,260.0
37,CL-ACF,ENF,-40.1726,-73.4439,822.0
38,CL-SDF,EBF,-41.883,-73.676,50.0
39,CL-SDP,WET,-41.879,-73.666,50.0
