system:index,ADM1_NAME,ADM2_NAME,.geo
00020000000000000000,Vermont,Addison,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000001,Vermont,Caledonia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000002,Vermont,Chittenden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000003,Vermont,Essex,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000004,Vermont,Franklin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000005,Vermont,Grand Isle,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000006,Vermont,Lamoille,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000007,Vermont,Orange,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000008,Vermont,Orleans,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000009,Vermont,Rutland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000a,Vermont,Washington,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000b,Vermont,Windsor,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000c,Wisconsin,Door,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000d,Wisconsin,Florence,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000e,Wisconsin,Forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000000f,Wisconsin,Langlade,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000010,Wisconsin,Marinette,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000011,Wisconsin,Menominee,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000012,Wisconsin,Oconto,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000013,Wisconsin,Shawano,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090a,Michigan,Alcona,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090b,Michigan,Alger,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090c,Michigan,Alpena,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090d,Michigan,Antrim,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090e,Michigan,Baraga,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000090f,Michigan,Charlevoix,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000910,Michigan,Cheboygan,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000911,Michigan,Chippewa,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000912,Michigan,Delta,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000913,Michigan,Dickinson,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000914,Michigan,Emmet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000915,Michigan,Grand Traverse,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000916,Michigan,Houghton,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000917,Michigan,Iron,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000918,Michigan,Keweenaw,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000919,Michigan,Leelanau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000091a,Michigan,Luce,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000091b,Michigan,Mackinac,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000091c,Michigan,Marquette,"{""type"":""MultiPoint"",""coordinates"":[]}"
