SITE_ID,START_DATE,END_DATE,water_mean,trees_mean,grass_mean,flooded_vegetation_mean,crops_mean,shrub_and_scrub_mean,built_mean,bare_mean,snow_and_ice_mean,label_mean,EXTENDED_END_DATE
US-Var,2016-6-1,2016-8-31,0.02156587702,0.05942769294,0.08460880554,0.03159083605,0.08556714722,0.4617152655,0.0363464626,0.1844151297,0.03472359251,5,
US-Var,2017-9-1,2017-11-30,0.02342775464,0.04544828524,0.09352487946,0.03470423678,0.09839751344,0.4365349955,0.0362773013,0.1935040483,0.03814054489,5,
US-LL3,2017-6-1,2017-8-31,0.02390377382,0.595662166,0.0369140216,0.03108863356,0.03980596856,0.1521871584,0.04511195416,0.02429368952,0.05099558574,1,
US-Syv,2017-6-1,2017-8-31,0.02391223445,0.7241577408,0.0388198329,0.02790384991,0.03124132135,0.04030038208,0.04114849956,0.03141565027,0.04106447501,1,
US-LL3,2016-3-2,2016-5-31,0.02462494761,0.5863146749,0.04455022596,0.02205796564,0.05279199136,0.1573820701,0.03556694885,0.02839561357,0.04827752954,1,
US-Tw1,2020-6-1,2020-8-31,0.0246509869,0.546169392,0.03686632648,0.03003051835,0.111876115,0.1334361185,0.03793536806,0.03819594306,0.04080048817,1.063368808,
US-Var,2017-6-1,2017-8-31,0.02466396013,0.04719972683,0.08102533853,0.02887118134,0.09973752125,0.5190388224,0.03296411172,0.1321132414,0.03434609771,5,
US-Var,2019-3-2,2019-5-31,0.02493262209,0.4808475455,0.09376621103,0.02654431523,0.0554373729,0.2169855724,0.0349551496,0.03227552731,0.03421774977,1.888888889,
US-Var,2018-9-1,2018-11-30,0.02535893657,0.04837784801,0.08896981418,0.03258828306,0.07067865332,0.4753542769,0.0340038136,0.1841415773,0.04048688379,5.028982208,
US-Var,2017-3-2,2017-5-31,0.02556856083,0.470432476,0.09297605472,0.03085591923,0.1211694904,0.1618678738,0.03662946874,0.02746795908,0.03299308054,1.347303143,
US-WCr,2020-6-1,2020-8-31,0.02572234762,0.7410536832,0.03898545006,0.02445264797,0.03385708316,0.04235636294,0.03049309778,0.03199675852,0.03104743421,1,
US-Var,2018-6-1,2018-8-31,0.02573874716,0.06597947255,0.0695319797,0.02967585053,0.06776039688,0.5470741576,0.03299153189,0.1272920139,0.03391658983,5.061002959,
US-Var,2016-9-1,2016-11-30,0.0258261478,0.05335413777,0.2640680337,0.03152660752,0.09957825338,0.2852429296,0.03878887264,0.1589071147,0.04266838982,3.5,
US-Syv,2020-6-1,2020-8-31,0.02635783925,0.7369096222,0.04601629442,0.02591870052,0.0316333319,0.03898066976,0.03077813051,0.03249677426,0.03087330621,1,
US-Snf,2019-6-1,2019-8-31,0.02645814487,0.08610345504,0.2739873267,0.03592507275,0.2443088767,0.1423052218,0.08971283979,0.06164417685,0.03951366218,2.920301622,
US-Var,2018-3-2,2018-5-31,0.02646759885,0.3304095193,0.1663494419,0.02570496353,0.060797282,0.2895572852,0.03263083234,0.03441138508,0.03363209544,2.065304109,
US-LL2,2017-6-1,2017-8-31,0.02652803537,0.7571244486,0.02900599211,0.02550766001,0.02943961184,0.0402425622,0.03057388738,0.02897096123,0.03257231633,1,
US-Var,2021-9-1,2021-11-30,0.02670595011,0.04215309511,0.1067351851,0.02881421163,0.0620342111,0.4700337106,0.03343850291,0.1945433005,0.03550269659,4.984103497,
US-Snf,2019-9-1,2019-11-30,0.02672264118,0.03675950074,0.3734477933,0.03098894871,0.2340132812,0.113310527,0.07467810287,0.07142782057,0.03861073555,2.44240185,
