DATE,Fpar_500m,Lai_500m,SITE_ID
2000-02-18,1.824289406,0,US-WCr
2000-02-26,30.39965547,4.076658053,US-WCr
2000-03-05,32.23686477,5.869078381,US-WCr
2000-03-13,3.013781223,1,US-WCr
2000-03-21,21.93023256,4,US-WCr
2000-03-29,33.06287683,6.06287683,US-WCr
2000-04-06,34.28768303,6.396210164,US-WCr
2000-04-14,17.38156761,4.052540913,US-WCr
2000-04-22,34.56761413,8,US-WCr
2000-04-30,48.44099914,12.68992248,US-WCr
2000-05-08,29.78466839,10.44358312,US-WCr
2000-05-16,89.45305771,52.25839793,US-WCr
2000-05-24,83.59000861,43.35142119,US-WCr
2000-06-01,91.50043066,55.65374677,US-WCr
2000-06-09,92.49009475,60.08440999,US-WCr
2000-06-17,90.99483204,54.63996555,US-WCr
2000-06-25,89.56761413,52.73901809,US-WCr
2000-07-03,92.68044789,57.91300603,US-WCr
2000-07-11,94.70887166,60.38415159,US-WCr
2000-07-19,91.29801895,52.31524548,US-WCr
2000-07-27,92.84926787,57.52540913,US-WCr
2000-08-04,29.59431525,7.218776916,US-WCr
2000-08-12,92.1920758,55.73901809,US-WCr
2000-08-20,91.78897502,52.85443583,US-WCr
2000-08-28,89.48664944,50.46942291,US-WCr
2000-09-05,91.52971576,51.5245478,US-WCr
2000-09-13,91.92937123,53.03962102,US-WCr
2000-09-21,78.416882,29.68906115,US-WCr
2000-09-29,55.52713178,12.80534022,US-WCr
2000-10-07,47.78983635,7.630490956,US-WCr
2000-10-15,35,5,US-WCr
2000-10-23,32.70198105,5,US-WCr
2000-10-31,31.91042205,4.570198105,US-WCr
2000-11-08,25.36864772,3.751076658,US-WCr
2000-11-16,26.60723514,4.045650301,US-WCr
2000-11-24,23.63135228,3.683893196,US-WCr
2000-12-02,20.99483204,3,US-WCr
2000-12-10,21.17140396,3,US-WCr
2000-12-18,14.24892334,2,US-WCr
2000-12-26,33.98449612,5.118863049,US-WCr
2001-01-01,41.8208441,6.1042205,US-WCr
2001-01-09,23.35400517,4.75538329,US-WCr
2001-01-17,22.62015504,3.114556417,US-WCr
2001-01-25,4.132644272,1,US-WCr
2001-02-02,24.64944014,3.945736434,US-WCr
2001-02-10,7.678725237,1.819982773,US-WCr
2001-02-18,14.98277347,2.530577089,US-WCr
2001-02-26,2.726098191,0.2747631352,US-WCr
2001-03-06,15.13436693,2.972437554,US-WCr
2001-03-14,2.309216193,0.3092161929,US-WCr
2001-03-22,1.764857881,0,US-WCr
2001-03-30,3.003445306,1,US-WCr
2001-04-07,33.12230835,6.115417743,US-WCr
2001-04-15,31.58570198,6.815676141,US-WCr
2001-04-23,36.82773471,8.817398794,US-WCr
2001-05-01,44.36950904,10.78983635,US-WCr
2001-05-09,72.06115418,26.92850991,US-WCr
2001-05-17,84.8079242,44.64599483,US-WCr
2001-05-25,90.88372093,55.83807063,US-WCr
2001-06-02,84.00861326,39.02842377,US-WCr
2001-06-10,85.73729543,45.35228252,US-WCr
2001-07-04,88.74763135,51.43669251,US-WCr
2001-07-12,85.09819121,48.20757967,US-WCr
2001-07-20,89.24375538,50.91472868,US-WCr
2001-07-28,86.0620155,49.10594315,US-WCr
2001-08-05,90.53143842,54.39534884,US-WCr
2001-08-13,93.07321275,62.15590009,US-WCr
2001-08-21,92.7166236,56.75279931,US-WCr
2001-08-29,90.72437554,49.37209302,US-WCr
2001-09-06,77.1920758,26.73729543,US-WCr
2001-09-14,47.89750215,11.73557278,US-WCr
2001-09-22,84.93281654,38.24289406,US-WCr
2001-09-30,62.18346253,15.80103359,US-WCr
2001-10-08,41.91989664,6.390180879,US-WCr
2001-10-16,34.29801895,5,US-WCr
2001-10-24,19.92678725,2.238587425,US-WCr
2001-11-01,32.63910422,4.503014643,US-WCr
2001-11-09,31.14556417,4.365202412,US-WCr
2001-11-17,29.34108527,3.819982773,US-WCr
2001-11-25,0,0,US-WCr
2001-12-03,30.70714901,4.28079242,US-WCr
2001-12-11,2,0,US-WCr
2001-12-19,28.6124031,5.175710594,US-WCr
2001-12-27,23.81739879,3.249784668,US-WCr
2002-01-01,22.5245478,3.202411714,US-WCr
2002-01-17,,,US-WCr
2002-01-25,,,US-WCr
2002-02-02,,,US-WCr
2002-02-10,,,US-WCr
2002-02-18,,,US-WCr
2002-03-30,2,0,US-WCr
2002-04-07,11.71403962,2.200689061,US-WCr
2002-04-15,33.66925065,6.648578811,US-WCr
2002-04-23,35.91817399,8.509043928,US-WCr
2002-05-01,37.28596038,8.8208441,US-WCr
2002-05-09,30.48062016,6.756244617,US-WCr
2002-05-17,39.17226529,9.324720069,US-WCr
2002-05-25,75.39621016,32.75452196,US-WCr
2002-06-02,88.0620155,45.6546081,US-WCr
2002-06-10,94.34280792,57.98794143,US-WCr
2002-06-18,86.87683032,47.80620155,US-WCr
2002-06-26,99.58484065,68.99655469,US-WCr
2002-07-04,94,57.48062016,US-WCr
2002-07-12,93.65374677,59.45305771,US-WCr
2002-07-20,89.22652885,50.18260121,US-WCr
2002-07-28,94.08527132,58.43669251,US-WCr
2002-08-05,89.9870801,50.81998277,US-WCr
2002-08-13,89.99913867,54.83031869,US-WCr
2002-08-21,93.78639104,59.98535745,US-WCr
2002-08-29,91.58828596,55.90267011,US-WCr
2002-09-06,91.99913867,52.13953488,US-WCr
2002-09-14,91.9121447,53.70801034,US-WCr
2002-09-22,89.97157623,47.91903531,US-WCr
2002-09-30,63.43583118,16.36520241,US-WCr
2002-10-08,51.01119724,8.352282515,US-WCr
2002-10-16,50.60378984,8.496985357,US-WCr
2002-10-24,38.33936262,5.900947459,US-WCr
2002-11-01,39.51765719,5.88372093,US-WCr
2002-11-09,4,1,US-WCr
2002-11-17,36.12919897,5.298018949,US-WCr
2002-11-25,3.849267873,1,US-WCr
2002-12-03,38.44358312,5.67786391,US-WCr
2002-12-11,1,0,US-WCr
2002-12-19,19.34280792,4.124031008,US-WCr
2002-12-27,29.65891473,4.14039621,US-WCr
2003-01-01,23.39362618,4.671834625,US-WCr
2003-01-09,35.74935401,5.298018949,US-WCr
2003-01-17,24.26098191,3.503875969,US-WCr
2003-01-25,18.67872524,2.224806202,US-WCr
2003-02-02,10.89061154,2.192075797,US-WCr
2003-02-10,14.58484065,2.29543497,US-WCr
2003-02-18,17.45736434,2.477174849,US-WCr
2003-02-26,15.93712317,2.045650301,US-WCr
2003-03-06,8.351421189,1.724375538,US-WCr
2003-03-14,24.36692506,4.137812231,US-WCr
2003-03-22,34.41860465,6.601205857,US-WCr
2003-03-30,2.199827735,0.1998277347,US-WCr
2003-04-07,37.2833764,7.236003445,US-WCr
2003-04-15,34.19638243,6.14039621,US-WCr
2003-04-23,37.43669251,8.781223084,US-WCr
2003-05-01,36.76830319,8.810508183,US-WCr
2003-05-09,40.20327304,9.480620155,US-WCr
2003-05-17,63.1955211,19.83462532,US-WCr
2003-05-25,85.34108527,45.33333333,US-WCr
2003-06-02,83.28940568,44.00689061,US-WCr
2003-06-10,92.71920758,59.94832041,US-WCr
2003-06-18,93.0749354,56.20757967,US-WCr
2003-06-26,84.28940568,54.02756245,US-WCr
2003-07-04,93.19638243,56.39018088,US-WCr
2003-07-12,93.97932817,58.33850129,US-WCr
