,index,NAME,result,year,0,1,2,3,4,5,6,7,8,9,10
0,0,Del Norte,"[{""change"":0,""sum"":2.620253640557083E9},{""change"":1,""sum"":1382926.564125061},{""change"":2,""sum"":221228.30893707275},{""change"":3,""sum"":2901.628677368164},{""change"":4,""sum"":36621.09122467041},{""change"":5,""sum"":597362.0160522461},{""change"":6,""sum"":1754944.361503601},{""change"":7,""sum"":297469.03761291504},{""change"":8,""sum"":17009.607902526855},{""change"":9,""sum"":151387.0863647461},{""change"":10,""sum"":702011.5517654419}]",2017,2620253640.557083,1382926.564125061,221228.30893707275,2901.628677368164,36621.09122467041,597362.0160522461,1754944.361503601,297469.03761291504,17009.607902526855,151387.0863647461,702011.5517654419
1,1,Humboldt,"[{""change"":0,""sum"":9.243893811610558E9},{""change"":1,""sum"":4447729.398376465},{""change"":2,""sum"":1884087.0328674316},{""change"":3,""sum"":40221.83490753174},{""change"":4,""sum"":751721.4585266113},{""change"":5,""sum"":1518750.087020874},{""change"":6,""sum"":2.648371507423401E7},{""change"":7,""sum"":2748132.8340682983},{""change"":8,""sum"":9906.692932128906},{""change"":9,""sum"":668272.9517593384},{""change"":10,""sum"":3103372.93825531}]",2017,9243893811.610558,4447729.398376465,1884087.0328674316,40221.83490753174,751721.4585266113,1518750.087020874,26483715.07423401,2748132.8340682983,9906.692932128906,668272.9517593384,3103372.93825531
2,2,Modoc,"[{""change"":0,""sum"":1.0879485491071259E10},{""change"":1,""sum"":342682.7625579834},{""change"":2,""sum"":322977.3894805908},{""change"":3,""sum"":171563.6021118164},{""change"":4,""sum"":664942.9066619873},{""change"":5,""sum"":845681.7097625732},{""change"":6,""sum"":158014.20510101318},{""change"":7,""sum"":92067.53182220459},{""change"":8,""sum"":130912.24967956543},{""change"":9,""sum"":4005881.451187134},{""change"":10,""sum"":561186.1192321777}]",2017,10879485491.071259,342682.7625579834,322977.3894805908,171563.6021118164,664942.9066619873,845681.7097625732,158014.20510101318,92067.53182220459,130912.24967956543,4005881.451187134,561186.1192321777
3,3,Siskiyou,"[{""change"":0,""sum"":1.636450925030053E10},{""change"":1,""sum"":1620474.4281539917},{""change"":2,""sum"":7429510.731842041},{""change"":3,""sum"":210237.16157531738},{""change"":4,""sum"":3628660.876678467},{""change"":5,""sum"":6421227.10458374},{""change"":6,""sum"":2.340275058795929E7},{""change"":7,""sum"":6013456.442695618},{""change"":8,""sum"":813862.9763641357},{""change"":9,""sum"":9905946.170715332},{""change"":10,""sum"":1.5703165573806763E7}]",2017,16364509250.30053,1620474.4281539917,7429510.731842041,210237.16157531738,3628660.876678467,6421227.10458374,23402750.58795929,6013456.442695618,813862.9763641357,9905946.170715332,15703165.573806763
4,4,Alameda,"[{""change"":0,""sum"":1.8562427525579224E9},{""change"":1,""sum"":9726064.346946716},{""change"":2,""sum"":4.31867147004776E7},{""change"":3,""sum"":171090.33707427979},{""change"":4,""sum"":5542740.250740051},{""change"":5,""sum"":3757109.632209778},{""change"":6,""sum"":1474806.4954681396},{""change"":7,""sum"":1962451.499130249},{""change"":8,""sum"":31418.29443359375},{""change"":9,""sum"":1163137.8446350098},{""change"":10,""sum"":1821075.1459350586}]",2017,1856242752.5579224,9726064.346946716,43186714.7004776,171090.33707427979,5542740.250740051,3757109.632209778,1474806.4954681396,1962451.499130249,31418.29443359375,1163137.8446350098,1821075.1459350586
5,5,Alpine,"[{""change"":0,""sum"":1.9207280478059158E9},{""change"":1,""sum"":31865.436714172363},{""change"":2,""sum"":149932.31887054443},{""change"":3,""sum"":26869.869567871094},{""change"":4,""sum"":282085.42739105225},{""change"":5,""sum"":267096.16649627686},{""change"":6,""sum"":441311.9094848633},{""change"":7,""sum"":215056.42140960693},{""change"":8,""sum"":9489.147811889648},{""change"":9,""sum"":601025.5344543457},{""change"":10,""sum"":2093735.5698318481}]",2017,1920728047.8059158,31865.436714172363,149932.31887054443,26869.869567871094,282085.42739105225,267096.16649627686,441311.9094848633,215056.42140960693,9489.147811889648,601025.5344543457,2093735.5698318481
6,6,Amador,"[{""change"":0,""sum"":1.553542099542427E9},{""change"":1,""sum"":5159807.447425842},{""change"":2,""sum"":2980191.7620391846},{""change"":3,""sum"":500.00572204589844},{""change"":4,""sum"":853080.5416412354},{""change"":5,""sum"":770137.2149429321},{""change"":6,""sum"":3368285.6951141357},{""change"":7,""sum"":1070870.4549484253},{""change"":9,""sum"":277002.93798828125},{""change"":10,""sum"":1387377.9858703613}]",2017,1553542099.542427,5159807.447425842,2980191.7620391846,500.00572204589844,853080.5416412354,770137.2149429321,3368285.6951141357,1070870.4549484253,,277002.93798828125,1387377.9858703613
7,7,Butte,"[{""change"":0,""sum"":4.2721946956560364E9},{""change"":1,""sum"":3.6067498321891785E7},{""change"":2,""sum"":8264874.589744568},{""change"":3,""sum"":106755.89487457275},{""change"":4,""sum"":8135634.9610824585},{""change"":5,""sum"":5691523.5260772705},{""change"":6,""sum"":3500603.237182617},{""change"":7,""sum"":2804666.940963745},{""change"":8,""sum"":47425.42345428467},{""change"":9,""sum"":4865469.802497864},{""change"":10,""sum"":2094452.7380218506}]",2017,4272194695.6560364,36067498.321891785,8264874.589744568,106755.89487457275,8135634.9610824585,5691523.5260772705,3500603.237182617,2804666.940963745,47425.42345428467,4865469.802497864,2094452.7380218506
8,8,Calaveras,"[{""change"":0,""sum"":2.6565971707652893E9},{""change"":1,""sum"":1.1008072756645203E7},{""change"":2,""sum"":7816793.697502136},{""change"":3,""sum"":4599.313011169434},{""change"":4,""sum"":1124568.5338287354},{""change"":5,""sum"":1561378.7239074707},{""change"":6,""sum"":3321782.877166748},{""change"":7,""sum"":1571399.4337158203},{""change"":8,""sum"":1599.9973220825195},{""change"":9,""sum"":58590.68389129639},{""change"":10,""sum"":2554842.782310486}]",2017,2656597170.7652893,11008072.756645203,7816793.697502136,4599.313011169434,1124568.5338287354,1561378.7239074707,3321782.877166748,1571399.4337158203,1599.9973220825195,58590.68389129639,2554842.782310486
9,9,Colusa,"[{""change"":0,""sum"":2.892161838964752E9},{""change"":1,""sum"":1.0867735817428589E7},{""change"":2,""sum"":6.579045006414795E7},{""change"":3,""sum"":267170.486038208},{""change"":4,""sum"":8995422.2131958},{""change"":5,""sum"":6339271.173965454},{""change"":6,""sum"":2183181.5491256714},{""change"":7,""sum"":473624.946182251},{""change"":8,""sum"":138785.16571044922},{""change"":9,""sum"":6545996.176811218},{""change"":10,""sum"":1188819.7847366333}]",2017,2892161838.964752,10867735.817428589,65790450.06414795,267170.486038208,8995422.2131958,6339271.173965454,2183181.5491256714,473624.946182251,138785.16571044922,6545996.176811218,1188819.7847366333
10,10,Contra Costa,"[{""change"":0,""sum"":1.8128598755377579E9},{""change"":1,""sum"":1.784828731148529E7},{""change"":2,""sum"":6.577830736090851E7},{""change"":3,""sum"":262643.1541519165},{""change"":4,""sum"":8052509.824226379},{""change"":5,""sum"":3759349.956138611},{""change"":6,""sum"":2896281.106262207},{""change"":7,""sum"":1673641.9134597778},{""change"":8,""sum"":182512.2133255005},{""change"":9,""sum"":3498059.1399002075},{""change"":10,""sum"":1801906.0057983398}]",2017,1812859875.5377579,17848287.31148529,65778307.36090851,262643.1541519165,8052509.824226379,3759349.956138611,2896281.106262207,1673641.9134597778,182512.2133255005,3498059.1399002075,1801906.0057983398
11,11,El Dorado,"[{""change"":0,""sum"":4.593038824526436E9},{""change"":1,""sum"":1.4632490018661499E7},{""change"":2,""sum"":4011615.473587036},{""change"":3,""sum"":1400.178825378418},{""change"":4,""sum"":662319.1876907349},{""change"":5,""sum"":1291962.257446289},{""change"":6,""sum"":7692315.969863892},{""change"":7,""sum"":1751166.1849060059},{""change"":9,""sum"":99200.70445251465},{""change"":10,""sum"":3428098.226524353}]",2017,4593038824.526436,14632490.018661499,4011615.473587036,1400.178825378418,662319.1876907349,1291962.257446289,7692315.969863892,1751166.1849060059,,99200.70445251465,3428098.226524353
