num,INDEX,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
72,72,US-Bi1,CRO,38.0992,-121.4993,-2.7
73,73,US-Bi2,CRO,38.1091,-121.5351,-5.0
81,81,US-BZF,WET,64.7013,-148.3121,95.0
83,83,US-BZo,WET,64.6936,-148.33,100.0
84,84,US-BZS,ENF,64.6963,-148.3235,100.0
87,87,US-CdM,WSA,37.5241,-109.7471,1860.0
94,94,US-CMW,DBF,31.6637,-110.1777,1199.0
98,98,US-CS1,CRO,44.1031,-89.5379,328.0
99,99,US-CS2,ENF,44.1467,-89.5002,328.0
100,100,US-CS3,CRO,44.1394,-89.5727,328.0
101,101,US-CS4,CRO,44.1597,-89.5475,328.0
102,102,US-CS5,CRO,44.1095,-89.5377,328.0
121,121,US-EML,OSH,63.8784,-149.2536,700.0
125,125,US-Fcr,OSH,65.3968,-148.9348,265.0
148,148,US-ICh,OSH,68.6068,-149.2958,940.0
149,149,US-ICs,WET,68.6058,-149.311,920.0
150,150,US-ICt,OSH,68.6063,-149.3041,930.0
157,157,US-KFS,GRA,39.0561,-95.1907,310.0
163,163,US-KLS,GRA,38.7745,-97.5684,373.0
174,174,US-Kon,GRA,39.0824,-96.5603,417.0
183,183,US-LL1,SAV,31.2792,-84.5329,165.0
184,184,US-LL2,SAV,31.201,-84.4449,155.0
185,185,US-LL3,SAV,31.2688,-84.4787,159.5
186,186,US-Los,WET,46.0827,-89.9792,480.0
187,187,US-LS1,GRA,31.5615,-110.1403,1230.0
188,188,US-LS2,SAV,31.5659,-110.1344,1240.0
191,191,US-Me2,ENF,44.4523,-121.5574,1253.0
192,192,US-Me6,ENF,44.3233,-121.6078,998.0
210,210,US-Myb,WET,38.05,-121.7651,-4.0
216,216,US-Ne1,CRO,41.1651,-96.4766,361.0
217,217,US-Ne2,CRO,41.1649,-96.4701,362.0
218,218,US-Ne3,CRO,41.1797,-96.4397,363.0
234,234,US-OWC,WET,41.3795,-82.5125,174.0
236,236,US-PFa,MF,45.9459,-90.2723,470.0
260,260,US-Prr,ENF,65.1237,-147.4876,210.0
270,270,US-Ro1,CRO,44.7143,-93.0898,275.0
271,271,US-Ro1,CRO,44.7143,-93.0898,275.0
272,272,US-Ro2,CRO,44.7288,-93.0888,292.0
274,274,US-Ro4,GRA,44.6781,-93.0723,274.0
275,275,US-Ro5,CRO,44.691,-93.0576,283.0
276,276,US-Ro6,CRO,44.6946,-93.0578,282.0
277,277,US-Rpf,DBF,65.1198,-147.429,497.0
289,289,US-Sne,GRA,38.0369,-121.7547,-5.0
290,290,US-Snf,GRA,38.0402,-121.7272,-4.0
296,296,US-SRG,GRA,31.7894,-110.8277,1291.0
298,298,US-Srr,WET,38.2006,-122.0264,8.0
306,306,US-Syv,MF,46.242,-89.3477,540.0
308,308,US-Ton,WSA,38.4309,-120.966,177.0
312,312,US-Tw1,WET,38.1074,-121.6469,-5.0
315,315,US-Tw4,WET,38.1027,-121.6413,-5.0
316,316,US-Tw5,WET,38.1072,-121.6426,-5.0
317,317,US-Twt,CRO,38.10763333333333,-121.65276666666666,-7.0
318,318,US-Uaf,ENF,64.8663,-147.8555,155.0
326,326,US-UM3,WAT,45.5686,-84.6707,234.0
327,327,US-UMB,DBF,45.5598,-84.7138,234.0
328,328,US-UMd,DBF,45.5625,-84.6975,239.0
331,331,US-Var,GRA,38.4133,-120.9508,129.0
337,337,US-WCr,DBF,45.8059,-90.0799,520.0
