system:index,ZCTA5CE10,.geo
00000000000000000000,54724,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,54725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,54726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,54728,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,54729,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,54730,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,54731,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,54732,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,54733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,54734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,59847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,83120,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,83201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,83202,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,83204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,83210,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,83212,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,83217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,83221,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,83226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,83235,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,83244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,83245,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,83250,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,83251,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,83253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,83255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,83262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,83274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,83277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,83285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,83401,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,83402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,83404,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,83406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,83421,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,83422,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,83424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,83428,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,83429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,83434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,83435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,83440,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,83443,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,83444,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,83445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,83448,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,83450,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,83451,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,83425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,83452,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,83455,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,83462,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,83463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,83467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,83536,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,83544,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,83546,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,83553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,83801,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,83802,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,83803,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,83804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,83805,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,83806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,83808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,83810,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,83811,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,83812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,83813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,83814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,83815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,83821,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,83822,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,83823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,83827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,83830,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,83833,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,83834,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,83835,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,83836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,83837,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,83839,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,83842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,83845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,83846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,83847,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,83848,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,83849,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,83850,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,83851,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,83852,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,83854,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,83855,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,83856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,83857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,83860,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,83861,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,83864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,83867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,83868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,83871,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,83872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,83873,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,83874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,83876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,99128,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,99586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,99701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,99702,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,99703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,99704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,99705,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,99706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,99709,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,99712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,99714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,99720,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,99721,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,99722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,99723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,99724,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,99726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,99730,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,99733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,99734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,99738,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,99740,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,99744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,99745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,99746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,99747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,99750,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,99751,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,99752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,99756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,99759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,99760,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,99761,"{""type"":""MultiPoint"",""coordinates"":[]}"
